"sid","sinstrument","ssymbol","sexpiry_dt","tdopen","tdhigh","tdlow","tdclose","tdtimestamp","twopen","twhigh","twlow","twclose","twtimestamp","tmopen","tmhigh","tmlow","tmclose","tmtimestamp","tyopen","tyhigh","tylow","tyclose","tytimestamp","dopen","dhigh","dlow","dclose","dtimestamp","wopen","whigh","wlow","wclose","wtimestamp","mopen","mhigh","mlow","mclose","mtimestamp","yopen","yhigh","ylow","yclose","ytimestamp","slastupdatedate"
1,"FUTIDX","BANKNIFTY","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"37861.30","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"39500.00","39677.20","39320.00","39395.35","14-OCT-2022","38743.00","39677.20","38520.55","39395.35","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
2,"FUTIDX","NIFTY","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16833.30","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"17299.75","17367.00","17175.00","17195.50","14-OCT-2022","17100.00","17367.00","16927.00","17195.50","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
3,"FUTSTK","AARTIIND","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"736.30","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"793.40","794.95","782.10","783.65","14-OCT-2022","762.80","794.95","756.20","783.65","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
4,"FUTSTK","ABB","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3017.80","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"3312.20","3333.00","3183.05","3205.20","14-OCT-2022","3284.30","3333.00","3179.15","3205.20","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
5,"FUTSTK","ABBOTINDIA","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"19247.50","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"18361.00","18372.70","18040.05","18152.05","14-OCT-2022","19000.05","19249.95","18040.05","18152.05","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
6,"FUTSTK","ABCAPITAL","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"110.00","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"112.40","112.55","109.70","109.95","14-OCT-2022","114.10","115.80","109.65","109.95","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
7,"FUTSTK","ABFRL","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"339.30","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"333.90","337.45","327.45","328.15","14-OCT-2022","337.20","344.25","325.55","328.15","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
8,"FUTSTK","ACC","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2386.80","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"2279.95","2288.90","2239.95","2245.00","14-OCT-2022","2373.80","2404.00","2239.95","2245.00","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
9,"FUTSTK","ADANIENT","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3480.95","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"3272.20","3306.65","3201.00","3209.90","14-OCT-2022","3250.05","3347.00","3146.20","3209.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
10,"FUTSTK","ADANIPORTS","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"820.50","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"805.00","807.30","779.00","780.85","14-OCT-2022","809.95","822.00","777.35","780.85","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
11,"FUTSTK","ALKEM","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3246.80","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"3163.05","3180.55","3109.40","3116.55","14-OCT-2022","3190.00","3237.65","3109.40","3116.55","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
12,"FUTSTK","AMARAJABAT","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"485.70","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"495.00","500.15","487.65","488.85","14-OCT-2022","499.05","500.15","485.85","488.85","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
13,"FUTSTK","AMBUJACEM","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"509.25","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"507.50","514.40","498.25","502.75","14-OCT-2022","519.50","536.90","485.00","502.75","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
14,"FUTSTK","APOLLOHOSP","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4402.95","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"4312.05","4338.90","4281.00","4294.90","14-OCT-2022","4391.70","4428.45","4248.05","4294.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
15,"FUTSTK","APOLLOTYRE","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272.60","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"276.90","278.95","270.60","271.55","14-OCT-2022","267.70","278.95","264.65","271.55","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
16,"FUTSTK","ASHOKLEY","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"150.25","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"151.10","151.35","147.75","148.10","14-OCT-2022","157.25","157.70","146.60","148.10","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
17,"FUTSTK","ASIANPAINT","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3395.05","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"3246.15","3254.00","3192.00","3196.10","14-OCT-2022","3304.45","3365.40","3192.00","3196.10","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
18,"FUTSTK","ASTRAL","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2169.70","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"2188.95","2210.00","2153.05","2156.10","14-OCT-2022","2244.95","2267.95","2144.05","2156.10","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
19,"FUTSTK","ATUL","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8939.85","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"8819.40","8938.50","8737.95","8789.90","14-OCT-2022","8890.80","8938.50","8582.35","8789.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
20,"FUTSTK","AUBANK","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"602.55","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"590.00","604.45","586.50","599.20","14-OCT-2022","582.75","604.45","571.05","599.20","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
21,"FUTSTK","AUROPHARMA","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"512.50","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"523.45","527.05","514.00","515.60","14-OCT-2022","537.05","540.40","506.50","515.60","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
22,"FUTSTK","AXISBANK","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"721.05","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"820.00","822.75","796.95","803.00","14-OCT-2022","749.50","822.75","745.60","803.00","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
23,"FUTSTK","BAJAJ-AUTO","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3476.75","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"3655.60","3668.00","3555.90","3571.10","14-OCT-2022","3561.55","3668.00","3506.10","3571.10","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
24,"FUTSTK","BAJAJFINSV","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1635.55","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"1706.95","1709.70","1686.50","1690.60","14-OCT-2022","1678.60","1709.70","1655.10","1690.60","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
25,"FUTSTK","BAJFINANCE","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7143.70","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"7291.45","7370.00","7236.20","7278.25","14-OCT-2022","7263.95","7370.00","7120.10","7278.25","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
26,"FUTSTK","BALKRISIND","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1853.70","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"1942.75","1959.80","1900.30","1905.40","14-OCT-2022","1896.90","1961.35","1876.70","1905.40","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
27,"FUTSTK","BALRAMCHIN","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"343.75","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"360.95","361.00","349.10","350.10","14-OCT-2022","360.25","366.35","349.10","350.10","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
28,"FUTSTK","BANDHANBNK","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"261.30","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"268.60","271.00","265.30","265.90","14-OCT-2022","270.25","271.00","262.20","265.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
29,"FUTSTK","BANKBARODA","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"128.20","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"132.75","134.60","130.40","130.95","14-OCT-2022","133.05","135.00","129.25","130.95","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
30,"FUTSTK","BATAINDIA","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1793.75","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"1840.00","1845.95","1785.25","1787.35","14-OCT-2022","1775.00","1845.95","1758.00","1787.35","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
31,"FUTSTK","BEL","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"99.55","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"102.90","103.75","100.90","101.20","14-OCT-2022","105.50","105.85","100.90","101.20","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
32,"FUTSTK","BERGEPAINT","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"622.35","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"624.35","624.40","612.20","613.30","14-OCT-2022","621.10","637.75","611.45","613.30","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
33,"FUTSTK","BHARATFORG","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"690.15","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"772.10","772.10","747.00","750.55","14-OCT-2022","763.05","785.50","746.00","750.55","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
34,"FUTSTK","BHARTIARTL","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"758.90","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"769.35","778.90","763.05","766.35","14-OCT-2022","786.00","795.80","763.05","766.35","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
35,"FUTSTK","BHEL","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"58.85","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"62.50","63.10","61.50","61.75","14-OCT-2022","63.00","63.95","60.15","61.75","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
36,"FUTSTK","BIOCON","27-Oct-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"287.95","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"265.30","267.00","261.65","262.10","14-OCT-2022","281.60","281.60","261.65","262.10","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
